Timestamp,"Êtes-vous ?
أنت؟","Votre âge ?
كم عمرك؟","Ville de résidence ?
مدينة الإقامة ؟","Region de résidence ?
جهة الإقامة ؟","Quelle est votre classe socioprofessionnelle ?
ما هو فصلك الاجتماعي والمهني ؟","Situation financière ?
الحالة الاقتصادية؟","À quelle fréquence faites-vous des achats en ligne ?
كم مرة تتسوق عبر الإنترنت ؟","Quels types de produits achetez-vous généralement en ligne ?
ما هي أنواع المنتجات التي تشتريها عادةً عبر الإنترنت ؟","Comment payez-vous généralement vos achats en ligne ?
كيف تدفع عادةً مقابل المشتريات عبر الإنترنت ؟","Avez-vous déjà eu une expérience négative lors d'un achat en ligne ?
هل مررت بتجربة سلبية عند التسوق عبر الإنترنت ؟","Si oui, veuillez expliquer 
إذا كان الجواب نعم، يرجى توضيح ذلك","Comment découvrez-vous habituellement les nouveaux sites d'achat en ligne ou les nouveaux produits ?
كيف تكتشف عادةً مواقع أو منتجات التسوق الجديدة عبر الإنترنت ؟","Comparez-vous les prix sur différents sites web avant de faire un achat ?
هل تقارن الأسعار على مواقع الويب المختلفة قبل الشراء ؟","Quelle importance accordez-vous à des facteurs tels que la livraison gratuite, les retours faciles et un bon service clientèle lorsque vous faites des achats en ligne ?
ما مدى أهمية عوامل مثل التوصيل المجاني والعائدات السهلة وخدمة العملاء الجيدة لك عند التسوق عبر الإنترنت ؟","Que pensez-vous de la sécurité des achats en ligne ?
ما هو شعورك حيال أمن التسوق عبر الإنترنت ؟","Prenez-vous des précautions pour protéger vos informations personnelles ?
هل تتخذ أي احتياطات لحماية معلوماتك الشخصية ؟","Si oui, quelles sont les précautions que vous prenez pour protéger vos informations personnelles ?
إذا كان الجواب نعم، ما هي الاحتياطات التي تتخذها لحماية معلوماتك الشخصية ؟","Recommanderiez-vous les achats en ligne à un ami ou à un membre de votre famille ?
هل توصي بالتسوق عبر الإنترنت لصديق أو أحد أفراد العائلة ؟","Comment les achats en ligne se comparent-ils aux achats dans les magasins traditionnels en termes d'expérience d'achat globale pour vous ?
بالنسبة لك كيف يقارن التسوق عبر الإنترنت بالتسوق في المتاجر التقليدية من حيث تجربة التسوق الشاملة  ؟","Pensez-vous que les achats en ligne ont changé la façon dont vous faites vos achats dans les magasins traditionnels ?
هل تعتقد أن التسوق عبر الإنترنت قد غير طريقة تسوقك في المتاجر التقليدية ؟","Êtes-vous satisfait des services d'achat en ligne fournis par les vendeurs marocains par rapport aux vendeurs internationaux ?
هل أنت راضٍ عن خدمات التسوق عبر الإنترنت التي يقدمها البائعون المغاربة مقارنة بالبائعين الدوليين ؟","Comment la pandémie de COVID-19 a-t-elle affecté vos habitudes d'achat en ligne ?
كيف أثرت جائحة كورونا على عاداتك في التسوق عبر الإنترنت ؟","Êtes-vous au courant des nouvelles règles douanières pour les achats en ligne au Maroc ? (DDP)
هل أنت على علم بالقواعد الجمركية الجديدة للتسوق عبر الإنترنت في المغرب ؟"
2023/01/18 1:49:33 pm GMT,Homme,21 ans ,Errachidia,Drâa-Tafilalet,Etudiant(e),Très faible,Rarement,Électronique,Cash on Delivery (COD),Non,,Les réseaux sociaux,Toujours,Très important,Je ne me sens pas en sécurité,Non,,Très peu probable,Les deux sont à peu près équivalents,Non,Non,Diminué,Oui
2023/01/18 1:51:47 pm GMT,Homme,20,Ouarzazate ,Drâa-Tafilalet,Etudiant(e),Faible,Rarement,Vêtements et accessoires,Cash on Delivery (COD),Non,,Les réseaux sociaux,Toujours,Très important,Je me sens très en sécurité,Non,,Neutre,Les achats dans les magasins traditionnels sont légèrement meilleurs,Oui,Non,Diminué,Non
2023/01/18 1:52:12 pm GMT,Homme,25,Kelaa mgouna ,Drâa-Tafilalet,Employé(e),Moyenne,Fréquemment,Électronique;Livres et médias,PayPal,Non,,Les réseaux sociaux,Rarement,Très important,Je me sens très en sécurité,Non,,Assez peu probable,Les deux sont à peu près équivalents,Non,Non,Augmenté,Non
2023/01/18 1:55:03 pm GMT,Femme,20,Errachidia ,Drâa-Tafilalet,Etudiant(e),Moyenne,Rarement,Vêtements et accessoires,Virement bancaire (application bancaire),Non,,Les réseaux sociaux,Jamais,Assez important,Je me sens plutôt en sécurité,Non,,Neutre,Les deux sont à peu près équivalents,Non,Non,Pas de changement,Oui
2023/01/18 1:55:10 pm GMT,Femme,20,Inezgane ,Souss-Massa,Etudiant(e),Bonne,Très souvent,Électronique,Carte bancaire,Non,,Les réseaux sociaux,Rarement,Très important,Je me sens plutôt en sécurité,Non,,Très peu probable,Les achats dans les magasins traditionnels sont légèrement meilleurs,Oui,Non,Pas de changement,Non
2023/01/18 1:56:04 pm GMT,Homme,23 ans,errachidia,Drâa-Tafilalet,Etudiant(e),Moyenne,Occasionnellement,Électronique,Cash on Delivery (COD),Non,,Les réseaux sociaux,Parfois,Assez important,Je me sens plutôt en sécurité,Non,,Plus ou moins probable,Les achats en ligne sont légèrement meilleurs,Oui,Non,Pas de changement,Non
2023/01/18 1:59:38 pm GMT,Homme,28,Errachidia ,Drâa-Tafilalet,Etudiant(e),Faible,Occasionnellement,Vêtements et accessoires;Électronique,Cash on Delivery (COD),Non,,Les réseaux sociaux,Toujours,Très important,Je me sens plutôt en sécurité,Non,,Neutre,Les achats dans les magasins traditionnels sont bien meilleurs,Non,Non,Pas de changement,Oui
2023/01/18 2:00:43 pm GMT,Homme,25,Errachidia,Drâa-Tafilalet,Demandeur d'emplois,Moyenne,Jamais,Jamais,Jamais,Non,,Les réseaux sociaux,Jamais,Pas du tout important,Je me sens plutôt en sécurité,Non,,Très peu probable,Les achats en ligne sont bien meilleurs,Non,Non,Augmenté,Non
2023/01/18 2:01:49 pm GMT,Femme,22,Rissani,Drâa-Tafilalet,Employé(e),Moyenne,Rarement,Vêtements et accessoires;Livres et médias;Produits de beauté et de soins personnels,Virement bancaire (application bancaire),Oui,جودة الكتب كانت سيئة,Les réseaux sociaux,Parfois,Très important,Je me sens plutôt en sécurité,Non,,Neutre,Les achats dans les magasins traditionnels sont légèrement meilleurs,Non,Non,Augmenté,Oui
2023/01/18 2:06:30 pm GMT,Homme,25,Tinghir ,Drâa-Tafilalet,Etudiant(e),Faible,Rarement,Électronique,PayPal,Non,,Les réseaux sociaux,Toujours,Assez important,Je me sens plutôt en sécurité,Non,,Neutre,Les achats dans les magasins traditionnels sont légèrement meilleurs,Oui,Non,Augmenté,Oui
2023/01/18 2:13:17 pm GMT,Femme,22,تازة,Fès-Meknès,Etudiant(e),Moyenne,Jamais,Produits de beauté et de soins personnels,Carte bancaire,Non,,Publicité en ligne,Jamais,Très important,Je me sens très en sécurité,Non,,Très probable,Les achats en ligne sont légèrement meilleurs,Oui,Oui,Pas de changement,Non
2023/01/18 2:13:30 pm GMT,Femme,22ans,Casablanca ,Casablanca-Settat,Etudiant(e),Faible,Occasionnellement,Vêtements et accessoires,Cash on Delivery (COD),Non,,Les réseaux sociaux,Parfois,Assez important,Je ne me sens pas en sécurité,Non,,Neutre,Les deux sont à peu près équivalents,Oui,Oui,Augmenté,Non
2023/01/18 2:24:36 pm GMT,Femme,22,Errachidia ,Drâa-Tafilalet,Etudiant(e),Moyenne,Jamais,Vêtements et accessoires;Articles de maison et meubles,Carte bancaire,Non,,Publicité en ligne,Parfois,Très important,Je me sens très en sécurité,Non,,Très probable,Les achats en ligne sont bien meilleurs,Non,Oui,Pas de changement,Non
2023/01/18 2:29:07 pm GMT,Homme,17,casablanca ,Casablanca-Settat,Etudiant(e),Moyenne,Rarement,Électronique,Cash on Delivery (COD),Non,,Publicité en ligne,Parfois,Très important,Je me sens plutôt en sécurité,Non,,Neutre,Les achats dans les magasins traditionnels sont légèrement meilleurs,Non,Oui,Pas de changement,Non
2023/01/18 2:30:00 pm GMT,Femme,22ans,Errachidia,Drâa-Tafilalet,Etudiant(e),Moyenne,Rarement,Vêtements et accessoires,Cash on Delivery (COD),Non,,Publicité en ligne,Parfois,Très important,Je me sens très en sécurité,Oui,,Très probable,Les achats en ligne sont bien meilleurs,Oui,Non,Diminué,Non
2023/01/18 2:41:20 pm GMT,Femme,30,Tanger,Tanger-Tetouan-Al Hoceima,Employé(e),Bonne,Très souvent,Vêtements et accessoires;Électronique;Articles de maison et meubles;Livres et médias;Produits de beauté et de soins personnels;Produits alimentaires et d'épicerie,Virement bancaire (application bancaire),Non,,Moteurs de recherche,Toujours,Assez important,Je me sens très en sécurité,Non,,Très probable,Les achats en ligne sont bien meilleurs,Oui,Non,Augmenté,Oui
2023/01/18 2:49:48 pm GMT,Homme,23,khouribga,Marrakesh-Safi,Etudiant(e),Bonne,Rarement,Électronique,Virement bancaire (application bancaire),Non,,Les réseaux sociaux,Toujours,Très important,Je me sens plutôt en sécurité,Non,,Très probable,Les achats en ligne sont bien meilleurs,Oui,Oui,Augmenté,Oui
2023/01/18 2:59:51 pm GMT,Homme,20,Tanger,Tanger-Tetouan-Al Hoceima,Demandeur d'emplois,Faible,Rarement,Livres et médias,Cash on Delivery (COD),Non,,Les réseaux sociaux,Jamais,Très important,Je ne me sens pas en sécurité,Non,,Très peu probable,Les achats dans les magasins traditionnels sont bien meilleurs,Non,Non,Pas de changement,Non
2023/01/18 3:39:04 pm GMT,Homme,21,KALAAT MGOUNA ,Drâa-Tafilalet,Etudiant(e),Faible,Rarement,Électronique,Virement bancaire (application bancaire),Oui,Une retard de livraison ,Les réseaux sociaux,Toujours,Très important,Je me sens plutôt en sécurité,Non,,Plus ou moins probable,Les achats dans les magasins traditionnels sont bien meilleurs,Non,Oui,Pas de changement,Oui
2023/01/18 3:51:43 pm GMT,Homme,21,Zagorq,Drâa-Tafilalet,Etudiant(e),Moyenne,Rarement,Vêtements et accessoires,Cash on Delivery (COD),Non,,Les réseaux sociaux,Jamais,Assez important,Je me sens très en sécurité,Non,,Neutre,Les achats dans les magasins traditionnels sont légèrement meilleurs,Non,Oui,Pas de changement,Non
2023/01/18 4:02:31 pm GMT,Homme,24,Casablanca,Casablanca-Settat,Cadre,Très bonne,Occasionnellement,Électronique;Articles de maison et meubles;Produits alimentaires et d'épicerie,Carte bancaire,Non,,Le bouche à oreille,Toujours,Très important,Je ne me sens pas en sécurité,Oui,,Neutre,Les achats en ligne sont légèrement meilleurs,Oui,Oui,Pas de changement,Non
2023/01/18 4:10:55 pm GMT,Homme,23,Tazarine,Drâa-Tafilalet,Etudiant(e),Moyenne,Occasionnellement,Vêtements et accessoires;Électronique;Produits de beauté et de soins personnels,Cash on Delivery (COD),Non,,Les réseaux sociaux,Toujours,Très important,Je ne me sens pas en sécurité,Oui,je ne donne pas mon CNI par exemple,Assez peu probable,Les achats en ligne sont bien meilleurs,Oui,Oui,Pas de changement,Oui
2023/01/18 4:16:10 pm GMT,Homme,18,Agadir,Souss-Massa,Etudiant(e),Faible,Jamais,Livres et médias,Cash on Delivery (COD),Non,,Les réseaux sociaux,Toujours,Très important,Je me sens très en sécurité,Non,,Très probable,Les achats en ligne sont légèrement meilleurs,Oui,Oui,Diminué,Oui
2023/01/18 4:19:10 pm GMT,Femme,22,erfoud,Drâa-Tafilalet,Etudiant(e),Moyenne,Rarement,Électronique;Livres et médias;Produits alimentaires et d'épicerie,Carte bancaire,Non,,Les réseaux sociaux,Toujours,Très important,Je me sens très en sécurité,Non,,Plus ou moins probable,Les achats en ligne sont bien meilleurs,Oui,Oui,Pas de changement,Oui
2023/01/18 4:59:01 pm GMT,Homme,21,ERRACHIDIA,Drâa-Tafilalet,Etudiant(e),Très faible,Rarement,Vêtements et accessoires,Carte bancaire,Non,,Les réseaux sociaux,Toujours,Très important,Je me sens plutôt en sécurité,Non,,Très probable,Les achats en ligne sont bien meilleurs,Oui,Oui,Pas de changement,Non
2023/01/18 5:08:15 pm GMT,Femme,22,Errachidia,Drâa-Tafilalet,Etudiant(e),Moyenne,Rarement,Vêtements et accessoires,Carte bancaire,Non,,Les réseaux sociaux,Parfois,Très important,Je me sens plutôt en sécurité,Non,,Assez peu probable,Les achats dans les magasins traditionnels sont bien meilleurs,Non,Non,Pas de changement,Non
2023/01/18 6:02:02 pm GMT,Homme,19,Errachidia ,Drâa-Tafilalet,Etudiant(e),Moyenne,Rarement,Électronique,Virement bancaire (application bancaire),Non,,Les réseaux sociaux,Jamais,Très important,Je me sens très en sécurité,Oui,"Lire attentivement et comprendre avant de cliquer sur un bouton, en plus, J'évite le maximum possible d'afficher mes informations personnelles. ",Plus ou moins probable,Les achats dans les magasins traditionnels sont légèrement meilleurs,Oui,Non,Pas de changement,Non
2023/01/18 6:11:46 pm GMT,Homme,26,Tinghir ,Drâa-Tafilalet,Professeur,Bonne,Rarement,Livres et médias,Carte bancaire,Non,,Les réseaux sociaux,Parfois,Très important,Je me sens plutôt en sécurité,Oui,تقديم اميل  للتسويق فقط,Plus ou moins probable,Les achats en ligne sont légèrement meilleurs,Oui,Oui,Pas de changement,Non
2023/01/18 6:15:24 pm GMT,Homme,27,Tinghir,Drâa-Tafilalet,Employé(e),Moyenne,Rarement,Électronique,Carte bancaire,Non,,Les réseaux sociaux,Parfois,Assez important,Je me sens plutôt en sécurité,Oui,Je ne partage pas telle chose qui est sensible mais je partage quelque chose secondaires au lieu d'elle comme g.mail,Assez peu probable,Les deux sont à peu près équivalents,Non,Non,Pas de changement,Non
2023/01/18 6:33:44 pm GMT,Homme,27,Tinghir ,Drâa-Tafilalet,Cadre,Moyenne,Rarement,Vêtements et accessoires;Électronique,Cash on Delivery (COD),Oui,عدم توافق الجودة مع المنتوج,Publicité en ligne,Toujours,Assez important,Je ne me sens pas en sécurité,Oui,,Assez peu probable,Les achats dans les magasins traditionnels sont bien meilleurs,Non,Non,Pas de changement,Oui
2023/01/18 7:35:26 pm GMT,Homme,22,Meknès ,Fès-Meknès,Employé(e),Moyenne,Fréquemment,Électronique,Carte bancaire,Oui,مشاكل الديوانية مؤخرا,Les réseaux sociaux,Toujours,Très important,Je me sens plutôt en sécurité,Oui,Désactiver la dotation après chaque achat ,Plus ou moins probable,Les achats en ligne sont bien meilleurs,Oui,Non,Augmenté,Oui
2023/01/18 8:41:56 pm GMT,Femme,22,Errachidia,Drâa-Tafilalet,Etudiant(e),Faible,Rarement,Vêtements et accessoires,Cash on Delivery (COD),Non,,Les réseaux sociaux,Jamais,Très important,Je me sens plutôt en sécurité,Non,,Plus ou moins probable,Les achats en ligne sont légèrement meilleurs,Oui,Non,Pas de changement,Non
2023/01/18 9:00:02 pm GMT,Homme,23 ans,Tinghir,Drâa-Tafilalet,Etudiant(e),Très faible,Rarement,Vêtements et accessoires,Cash on Delivery (COD),Non,,Les réseaux sociaux,Toujours,Très important,Je me sens très en sécurité,Oui,Éviter d'utiliser les comptes sociaux officiels ,Très peu probable,Les achats dans les magasins traditionnels sont bien meilleurs,Oui,Non,Diminué,Oui
2023/01/18 9:08:10 pm GMT,Femme,22,Goulmima,Drâa-Tafilalet,Etudiant(e),Moyenne,Rarement,Vêtements et accessoires,Cash on Delivery (COD),Non,,Les réseaux sociaux,Toujours,Très important,Je me sens plutôt en sécurité,Non,,Neutre,Les achats en ligne sont légèrement meilleurs,Oui,Oui,Pas de changement,Oui
2023/01/18 9:08:10 pm GMT,Homme,24,errachidia,Drâa-Tafilalet,Etudiant(e),Moyenne,Occasionnellement,Vêtements et accessoires,Cash on Delivery (COD),Non,,Les réseaux sociaux,Parfois,Très important,Je me sens très en sécurité,Non,,Neutre,Les achats en ligne sont légèrement meilleurs,Oui,Non,Pas de changement,Oui
2023/01/19 11:17:33 am GMT,Femme,21,Errachidia ,Drâa-Tafilalet,Etudiant(e),Moyenne,Rarement,Vêtements et accessoires,Virement bancaire (application bancaire),Non,,Publicité en ligne,Toujours,Très important,Je me sens plutôt en sécurité,Non,,Neutre,Les achats en ligne sont légèrement meilleurs,Oui,Non,Pas de changement,Oui
2023/01/19 1:20:37 pm GMT,Homme,22,مراكش,Marrakesh-Safi,Employé(e),Faible,Rarement,Électronique;Articles de maison et meubles,Carte bancaire,Non,,Les réseaux sociaux,Toujours,Pas très important,Je me sens plutôt en sécurité,Non,,Neutre,Les achats dans les magasins traditionnels sont légèrement meilleurs,Non,Oui,Pas de changement,Oui
2023/01/20 5:31:51 pm GMT,Homme,23,Errachidia,Drâa-Tafilalet,Etudiant(e),Moyenne,Rarement,Électronique,PayPal,Non,,Les réseaux sociaux,Toujours,Très important,Je me sens plutôt en sécurité,Oui,Un mode pass très fort et une vitrification avec un num ou un email ,Plus ou moins probable,Les achats en ligne sont bien meilleurs,Non,Non,Augmenté,Oui
2023/01/21 7:46:14 am GMT,Homme,29,Erfoud,Drâa-Tafilalet,Employé(e),Très faible,Très souvent,Vêtements et accessoires;Électronique;Livres et médias,Carte bancaire,Non,,Moteurs de recherche,Toujours,Très important,Je me sens plutôt en sécurité,Non,,Neutre,Les achats en ligne sont légèrement meilleurs,Non,Non,Pas de changement,Non
2023/01/21 8:49:06 am GMT,Femme,36,Errachidia ,Drâa-Tafilalet,Etudiant(e),Moyenne,Occasionnellement,Vêtements et accessoires;Électronique;Articles de maison et meubles;Produits de beauté et de soins personnels,Carte bancaire,Non,,Les réseaux sociaux,Parfois,Pas très important,Je ne me sens pas en sécurité,Oui,,Neutre,Les deux sont à peu près équivalents,Non,Non,Diminué,Oui
2023/01/21 1:46:36 pm GMT,Homme,28,Tinghir ,Drâa-Tafilalet,Employé(e),Moyenne,Jamais,Vêtements et accessoires,Cash on Delivery (COD),Non,,Les réseaux sociaux,Jamais,Pas très important,Je ne me sens pas en sécurité,Non,,Neutre,Les achats dans les magasins traditionnels sont légèrement meilleurs,Non,Non,Diminué,Non
2023/01/22 2:12:36 pm GMT,Femme,23,Témara,Rabat-Salé-Kénitra,Etudiant(e),Moyenne,Rarement,Vêtements et accessoires;Électronique,Carte bancaire,Oui,La qualité de produits ce n’est pas comme vous avez vu au annonce ,Les réseaux sociaux,Parfois,Très important,Je me sens très en sécurité,Non,,Assez peu probable,Les achats en ligne sont légèrement meilleurs,Non,Non,Augmenté,Oui
2023/01/22 3:33:07 pm GMT,Femme,21,Temara ,Rabat-Salé-Kénitra,Etudiant(e),Moyenne,Occasionnellement,Vêtements et accessoires;Articles de maison et meubles;Produits de beauté et de soins personnels,Carte bancaire,Non,,Les réseaux sociaux,Parfois,Très important,Je me sens plutôt en sécurité,Non,,Neutre,Les achats dans les magasins traditionnels sont légèrement meilleurs,Oui,Non,Augmenté,Oui
2023/01/23 10:58:18 am GMT,Femme,23,Martil,Tanger-Tetouan-Al Hoceima,Etudiant(e),Moyenne,Très souvent,Produits de beauté et de soins personnels,Cash on Delivery (COD),Non,,Publicité en ligne,Rarement,Très important,Je me sens très en sécurité,Non,,Neutre,Les deux sont à peu près équivalents,Oui,Oui,Augmenté,Non
2023/01/27 2:06:28 pm GMT,Femme,40,Fes,Fès-Meknès,Employé(e),Moyenne,Très souvent,Vêtements et accessoires;Électronique;Articles de maison et meubles;Produits de beauté et de soins personnels,Carte bancaire,Non,,Les réseaux sociaux,Toujours,Très important,Je me sens très en sécurité,Non,,Plus ou moins probable,Les achats en ligne sont légèrement meilleurs,Oui,Oui,Augmenté,Oui
2023/01/27 9:08:35 pm GMT,Homme,22,rabat,Rabat-Salé-Kénitra,Etudiant(e),Moyenne,Occasionnellement,Électronique,Carte bancaire,Non,,Les réseaux sociaux,Parfois,Très important,Je me sens très en sécurité,Non,,Neutre,Les achats en ligne sont légèrement meilleurs,Oui,Oui,Pas de changement,Oui
2023/01/27 10:15:07 pm GMT,Homme,30,Marrakech,Marrakesh-Safi,Cadre,Très bonne,Très souvent,Vêtements et accessoires;Électronique;Articles de maison et meubles;Livres et médias;Produits de beauté et de soins personnels;Produits alimentaires et d'épicerie,Carte bancaire,Non,,Les réseaux sociaux,Parfois,Très important,Je me sens très en sécurité,Non,,Très probable,Les achats en ligne sont bien meilleurs,Oui,Oui,Augmenté,Oui
2023/01/27 10:21:24 pm GMT,Homme,30,Marrakech,Marrakesh-Safi,Cadre,Très bonne,Très souvent,Vêtements et accessoires;Électronique;Articles de maison et meubles;Livres et médias;Produits de beauté et de soins personnels;Produits alimentaires et d'épicerie,Carte bancaire,Non,,Les réseaux sociaux,Parfois,Très important,Je me sens très en sécurité,Non,,Très probable,Les achats en ligne sont bien meilleurs,Oui,Oui,Augmenté,Oui
2023/01/27 10:21:54 pm GMT,Homme,30,Marrakech,Marrakesh-Safi,Cadre,Très bonne,Très souvent,Vêtements et accessoires;Électronique;Articles de maison et meubles;Livres et médias;Produits de beauté et de soins personnels;Produits alimentaires et d'épicerie,Carte bancaire,Non,,Les réseaux sociaux,Parfois,Très important,Je me sens très en sécurité,Non,,Très probable,Les achats en ligne sont bien meilleurs,Oui,Oui,Augmenté,Oui
2023/01/28 8:01:39 am GMT,Homme,26,Safi,Marrakesh-Safi,Employé(e),Moyenne,Occasionnellement,Électronique,Carte bancaire,Non,,Les réseaux sociaux,Toujours,Très important,Je me sens très en sécurité,Non,,Neutre,Les deux sont à peu près équivalents,Non,Oui,Pas de changement,Non
